favorite_count,retweet_count,tweet_id
65158,16195,830583320585068544
0,5495,830173239259324417
9547,2840,830097400375152640
0,4839,829878982036299777
11982,1874,829861396166877184
31022,10259,829501995190984704
10234,1945,829449946868879360
23817,7099,829141528400556032
52153,15865,829011960981237760
0,3309,828801551087042563
25007,5675,828770345708580865
35690,10842,828708714936930305
9298,1294,828650029636317184
6215,1122,828409743546925057
7518,1242,828408677031882754
12329,2160,828381636999917570
7236,1038,828376505180889089
12317,2838,828372645993398273
2138,172,828361771580813312
11481,2774,828046555563323392
10130,2092,828011680017821696
19622,5089,827933404142436356
15167,2927,827653905312006145
7314,911,827600520311402496
15507,2940,827324948884643840
10347,2157,827199976799354881
21101,4839,826958653328592898
35434,9852,826848821049180160
0,3868,826615380357632002
5022,241,826598799820865537
9802,2282,826598365270007810
18028,4068,826476773533745153
12996,2534,826240494070030336
4774,892,826204788643753985
15316,3016,826115272272650244
10273,1807,825876512159186944
12496,2427,825829644528148480
55874,17116,825535076884762624
17915,4409,825147591692263424
0,1211,825120256414846976
6148,1211,825026590719483904
0,5359,824796380199809024
14627,3405,824775126675836928
10322,1721,824663926340194305
11589,10307,824325613288833024
14761,3739,824297048279236611
4745,584,824025158776213504
10426,2643,823939628516474880
0,10865,823719002937630720
13708,2453,823699002998870016
12755,2556,823581115634085888
688,22,823333489516937216
15438,3903,823322678127919110
0,9631,823269594223824897
16999,3354,822975315408461824
129017,42027,822872901745569793
12989,2212,822859134160621569
0,6228,822647212903690241
14527,2863,822610361945911296
17797,6228,822489057087389700
27399,13870,822462944365645825
34358,9631,822244816520155136
0,4619,822163064745328640
11103,2244,821886076407029760
0,3288,821813639212650496
8236,1621,821765923262631936
7891,1707,821522889702862852
0,5422,821421320206483457
11520,4207,821407182352777218
250,10,821153421864615936
8460,1909,821149554670182400
9421,2077,821107785811234820
12446,2220,821044531881721856
0,6549,820837357901512704
30996,9639,820749716845686786
12015,3153,820690176645140481
0,550,820494788566847489
0,2500,820446719150292993
3288,550,820314633777061888
19446,6133,820078625395449857
0,1141,820013781606658049
5232,1141,819952236453363712
12704,4771,819924195358416896
13146,3044,819711362133872643
9489,1949,819588359383371776
7100,1174,819347104292290561
2217,399,819238181065359361
22662,6549,819227688460238848
0,36174,819015337530290176
0,18642,819015331746349057
44662,18642,819006400881917954
85719,36174,819004803107983360
0,20450,818646164899774465
22034,7377,818627210458333184
9665,2475,818614493328580609
0,5977,818588835076603904
10680,2392,818536468981415936
0,7862,818307523543449600
10831,2199,818259473185828864
12072,2495,818145370475810820
4780,781,817908911860748288
50699,26444,817827839487737858
10573,2623,817777686764523521
11591,2883,817536400337801217
0,3316,817502432452313088
33194,14334,817423860136083457
5508,931,817415592588222464
0,8251,817181837579653120
8631,1980,817171292965273600
12020,2540,817120970343411712
8452,1608,817056546584727552
0,4606,816829038950027264
9847,1997,816816676327063552
9627,2143,816697700272001025
29904,7862,816450570814898180
8458,1900,816336735214911488
